2021-09-14 15:54:26,299 - INFO - Namespace(beta_paras='3,6,6,3', budget_list='3', did='d1', grain_alpha='5', grain_p='10', method='greedy', percent_R='0.25', percent_S='0.25', seed='32', version='v09141554')
2021-09-14 15:54:26,315 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-14 15:54:26,316 - INFO - Finish random valuations using v_beta_paras for R and costs using c_beta_paras for S
2021-09-14 15:54:26,911 - INFO - length of pq_list=66 when grain_p=10 grain_alpha=5
2021-09-14 15:54:26,911 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,911 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,911 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,911 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,912 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,913 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
2021-09-14 15:54:26,914 - INFO - invalid p,q since at least one side is empty
